gene_symbol,gene_length_bp
RNU6-387P,105
RNU6-1031P,107
CR1L,2768
CD46P1,763
CDCA4P3,689
CDCA4P4,680
OR10J6P,930
RNU6-828P,107
RNU6-37P,107
RN7SL731P,293
CENPS-CORT,2244
CENPS,1748
NSA2P1,792
SNORA77,125
RPL35AP5,328
KRT8P29,1371
RN7SL559P,297
XKR8,5180
MIR1182,97
LINC01144,1710
PPIAP36,325
FGFR3P6,610
LOC100131465,1670
MIR3916,94
RNA5SP82,92
VN1R17P,1090
GCSAML,4680
OR2G2,954
OR2G3,930
U6,57
OR3D1P,955
RNU6-991P,107
LOC128136,1459
PSMD2P1,2720
ADH5P3,1137
RPL17P7,555
RPS27P6,253
RANP5,655
SCARNA2,420
LOC124904686,106
SNORA80E,137
SCARNA4,129
MIR6738,64
ARHGEF2-AS1,401
LOC124900449,141
PMF1-BGLAP,1007
BGLAP,964
MIR9-1,89
MEX3A,6591
CYP4Z1,2252
TUBAP9,1202
MTND1P34,671
FOXE3,1768
FOXD2-AS1,2509
VHLL,684
LRRC52,1372
COA6,2288
CORT,914
LEPR,11370
FOXD2,2648
DDOST,2721
PLA2G2F,6438
RXFP4,1450
SBF1P2,2637
RNU5E-4P,120
MIR6729,65
RN7SL649P,275
TNFRSF8,3812
RNU6-777P,104
RPL23AP89,255
MIR7846,96
MIR4632,61
RBBP4,9470
MIR5187,76
RRM2P2,652
RNU6-481P,107
COMMD6P1,206
RN7SL261P,282
LOC391092,1398
GJA8,1392
RNU1-129P,167
RNVU1-7,164
ABHD17AP1,933
RNU6-1211P,105
RNU6-809P,107
TMCO2,846
RPL21P20,480
ZFP69B-DT,673
AUNIP,2408
SNRPFP2,251
MIR3917,93
RNU6-369P,102
MIR5584,60
TMEM53,3561
SNORD55,80
SNORD46,104
SNORD38A,70
SNORD38B,69
RPS15AP11,385
RNU5E-6P,115
RNA5SP47,109
CCNB1IP1P1,839
PPIAP35,492
MRPS17P1,3130
OSTCP5,453
TAS1R1,2764
ZBTB40-IT1,273
EPHA8,5434
MIR6127,109
MIR4684,82
LGALS8-AS1,1457
RPSAP21,885
RPL35P1,370
MT1HL1,339
RNU6-949P,107
CHMP1AP1,662
RNU6-424P,105
RPEP3,676
RNU6-1245P,106
SCARNA1,166
PDE4DIPP9,882
MIR3675,73
RNU1-5P,144
LOC107985101,508
RNU1-2,164
ATP13A2,5253
PADI1,4903
PADI3,3189
MIR3972,87
LOC124900422,77
CICP13,2789
LOC124906683,104
HHIPL2,3290
NDUFB1P2,176
ATP6V1E1P1,681
ATP6V0CP4,440
RNU6-880P,107
LOC124904715,89
HAUS4P1,1145
GAPDHP58,1006
HSD3B1,2443
GAPDHP32,998
HSD3BP3,994
GAPDHP27,1020
GAPDHP33,1013
LINC00622,1570
HSD3BP5,1132
PFN1P9,433
NOTCH2P1,624
ADAM30,2983
INSRR,5200
RN7SL831P,319
RPL7P9,747
RN7SKP270,312
RN7SL574P,297
RPS21P1,247
MTCYBP14,715
MTND6P14,522
MTND5P19,1794
MTND4P10,1363
MTND4LP21,295
MTND3P8,339
MTCO3P46,232
MIR6737,70
RPL34P5,329
RNU6-179P,107
RPS7P2,607
MIR5698,72
OR13Z1P,848
OR13Z2P,555
OR13Z3P,391
RN7SL654P,292
LOC100129573,1325
RPL29P6,460
RPL13AP10,565
MRPL57P1,265
HSPA6,2355
RPS23P10,486
RPS23P9,438
PROK1,1393
KCNA10,1959
NRBF2P3,865
OR11I1P,954
RN7SL148P,279
MIR555,96
RNU6-106P,107
ASH1L-IT1,448
RNU6-1297P,104
POU5F1P4,1085
DAP3P1,278
RPL10AP4,643
RN7SKP247,308
RNU1-114P,166
RNVU1-17,164
RNVU1-23,135
RNVU1-18,164
FAM91A3P,2544
RNU1-143P,146
IGKV1OR1-1,347
GLRX2,6210
KCNC4,26071
ENO1P1,1304
MIR6735,73
HYI-AS1,545
RN7SL657P,293
MRPL20-DT,1523
ATAD3C,3981
ACTG1P4,1122
AMYP1,1023
RNU4-21P,126
RNA5SP78,118
KIAA1191P3,906
HMGB1P26,628
RNF186,1255
PLA2G2E,785
RN7SL304P,301
OR2M7,939
OR14C36,939
KNCN,2933
KRT8P47,1398
RN7SL479P,300
OR2T3,957
OR2T5,2525
OR2AS2P,342
OR2AS1P,319
OR2T34,957
LCE3B,288
LCE3A,270
LCE2D,625
LCE2B,608
LCE2A,611
PRAMEF15,1865
PRAMEF14,2443
PRAMEF17,1578
GAPDHP46,994
PRKAR1AP1,1162
FNDC10,2124
HMGN1P5,263
CD1C,2442
OR10T2,945
OR10T1P,947
EI24P2,1076
OR10R3P,942
OR10R1P,1141
HSP90AA3P,2167
LOC100421273,512
RNA5SP53,120
RPS14P1,433
IL24,1979
RPL13AP8,611
FCAMR,3541
PRMT6,4340
NDUFA4P1,246
CD52,934
RPL34P4,346
RN7SL788P,316
PDCL3P6,706
RPL9P12,394
DNAJC19P7,344
ANAPC10P1,556
RPL34P7,352
MIXL1,2035
LOC124900425,127
MIR320B2,138
RNU6-1008P,104
MIR4742,85
AKR1B1P1,956
DNAJB6P6,714
OXCT2P1,1535
SNORA55,135
RNU7-121P,62
YBX1P9,679
RPS3AP7,781
RN7SKP165,356
CDKN2AIPNLP1,302
MIR6878,66
MIR4257,86
RN7SL473P,299
RN7SL600P,299
U4,85
HORMAD1,2412
RNU6-1042P,107
UBE2D3P3,425
ADAMTSL4-AS1,1914
MCL1,6222
LINC02809,2642
MIR3620,79
CIAO2AP2,477
OBSCN-AS1,3862
LOC124904535,10019
LOC101927401,4828
MIR6742,62
RPL23AP15,459
MIR4666A,79
RNA5SP19,109
RNA5SP162,44
CLDN19,3602
RPL26P8,348
ASH1L,13783
IQCC-AS1,1357
TSSK3,1849
LOC124904809,130
RPL27P4,331
RNU6ATAC35P,444
LOC124900455,118
LINC01352,962
RPL7AP81,338
PRELID3BP1,540
RN7SL464P,297
C1orf115,2891
RC3H1-IT1,448
RPL30P1,339
KRT18P57,1254
RNU6-151P,107
INKA2,6393
LOC101928718,4326
KCND3-IT1,376
KCND3-AS1,777
ITPKB-AS1,538
RPS27P5,244
GLRX5P2,173
ARHGAP30,5064
LOC124900457,129
EIF1P2,350
RNU6-608P,104
RNA5SP44,133
HSPE1P8,288
CCNT2P1,1315
RNA5SP54,92
RNU7-57P,60
RPSAP17,883
PSMD8P1,769
PLA2G2C,3855
RNU6-1309P,108
CYCSP51,318
OR10J2P,961
OR10J7P,934
OR10J8P,929
OR10J9P,987
HMGB1P48,598
RPS15AP10,382
RPL7AP16,788
MIER1,8273
ZC3H11A,12829
EPHB2,12516
HSPD1P14,1618
HMGB4,2561
RPL18AP4,526
TRIM62,3976
FAM133FP,671
ZNF847P,1077
SNAP47-AS1,1708
PRAMEF28P,1450
PRAMEF27,1947
PRAMEF34P,1447
PRAMEF35P,891
HNRNPCL2,1156
HNRNPCL4,1718
RBMXL1,5087
PTGES3P1,483
IFI6,936
HNRNPCL3,1897
RPL23P3,424
LOC652549,1587
RNU6V,107
MIR197,75
RPL7P8,730
PTGS2,5484
AKR7A2P1,915
SSBP3-AS1,2624
HNRNPA1P63,963
LINC01737,403
RPS24P4,404
RNA5SP79,109
RN7SL837P,287
NENFP1,466
TEX38,1464
EFCAB14,16312
RN7SL466P,295
SNX25P1,834
ARPC3P2,533
SLC30A1,5893
FDPSP8,1089
DLSTP1,1354
SNORD45C,79
SNORD45A,84
SNORD45B,72
MSH4,3270
EEF1A1P32,1347
RPL24P5,472
FAM204BP,701
MIR6734,68
FCF1P7,558
MIR4677,80
FABP7P1,391
AKT3-IT1,517
AKT3,16643
C1orf174,4883
BCAN-AS1,3222
MIR4421,69
MIR6500,86
CFL1P2,684
RPS2P8,870
RNU6-877P,107
RNU6-1281P,105
TUBB8P11,1058
RNF223,1900
LINC01342,1620
RN7SL653P,293
MFSD14A-AS1,384
SASS6,3972
RPL23AP90,236
BRI3P1,378
MIR553,68
BRDT,4635
MIR5585,59
KPNA6,7457
LINC01160,1377
SNORD21,95
SNORA66,133
LOC124900443,124
RNU6-970P,107
RN7SL692P,288
LOC124904219,2446
RNU6-210P,95
RN7SKP123,291
RNU7-200P,62
MIR1256,119
RPS15AP6,385
HSPE1P27,296
ECE1,7308
ECE1-AS1,2579
RNU4-57P,135
CCDC185,2051
RNU1-74P,171
LRRIQ3,8759
LRRC53,4358
ERICH3,8827
FPGT-TNNI3K,9896
BRWD1P1,371
RNA5SP41,101
LOC124900446,130
RNA5S1,119
RNA5S2,119
RNA5S3,119
RNA5S4,119
RNA5S5,119
RNA5S6,119
RNA5S7,119
RNA5S8,119
RNA5S9,119
RNA5S10,119
RNA5S11,119
RNA5S12,119
RNA5S13,119
RNA5S14,119
RNA5S15,119
RNA5S16,119
RNA5S17,119
RNA5SP18,121
DUSP5P1,1139
LOC124900442,125
OBSCN,39568
RNVU1-30,164
FAM91A2P,2536
RNU1-68P,146
H3C13,469
H2AC20,494
H2AC21,497
RPL34P6,345
GPR25,1198
RNU6-704P,103
KIF21B,12164
IGFN1,12117
NEDD8P1,244
LOC124904808,137
SAMD13,3405
RNA5SP75,111
LOC124900453,116
RPL13AP11,562
TMEM81,1332
GYG2P2,784
RNU6-1304P,106
LEFTY3P,301
MIR6741,63
LEFTY2,2286
NDUFA3P3,250
RNU6-537P,103
RHD,3313
MIR765,114
RN7SL612P,295
FMN2,18429
RPS11P2,454
RNU5F-8P,111
PTP4A2,6708
ADGRB2,7756
OLFML2B,3430
TTC24,3782
IL20,1298
DNASE2B,1524
OR2L2,4375
OR2L3,2929
OR2M4,5934
PRAMEF9,2465
OR2T35,2957
OR10K2,3023
RBM15,4670
KLHDC7A,5045
MTX1,3282
GPR37L1,7581
CELF3,6774
RIIAD1,2276
MRPL9,1740
OAZ3,4633
LINGO4,2644
THEM5,1161
KRT8P28,1390
LCEP2,351
LCEP1,308
LCE1F,726
LCE1E,1299
LCE1D,460
TFAP2E,4308
HPDL,1816
OR2L5,2429
CCSAP,6257
RNU6-180P,61
RN7SKP276,268
DNAJC8P4,394
RNU6ATAC27P,119
SNHG3,4088
SNORA73A,206
SNORA73B,204
PRDX3P2,611
SNORD99,74
SNORA61,130
SNORA44,132
SNORA16A,137
RAB42,2301
AMY2A,1599
RPL21P19,483
LINC00628,1289
RNA5SP74,109
LOC100418874,821
UBA5P1,432
RPL12P45,478
EFCAB14P1,463
RN7SL503P,303
LOC124900419,152
C1orf146,1086
ACTBP12,418
RN7SL824P,297
HMGB3P9,583
RNU4-59P,116
H3P3,156
CCNJP2,1163
OR10X1,981
OR2T27,1285
OR6K1P,971
OR6K3,1875
OR2AQ1P,200
OR10AA1P,937
OR10J3,940
OR14A16,1367
HSD17B7P1,1017
OR11L1,969
TRIM58,5170
OR2W3,945
OR2AJ1,1873
CLK3P2,1453
OR2X1P,687
OR2L8,939
OR6Y1,5128
TLR12P,2706
LOC100422287,736
OR2T6,4670
OR2M1P,951
OR2M5,939
OR2M2,1229
GM2AP2,562
CYCSP53,265
TBC1D3P6,962
SRARP,3039
LOC100996886,614
OR2T8,2422
ZBTB2P1,966
CTRC,3483
OR6F1,1762
OR14K1,945
OR9H1,4888
OR10K1,3936
OR2T12,5708
OR2T33,4132
RN7SL432P,298
RNY1P13,105
OR2T29,2652
MIR6859-1,68
MIR1302-2,138
OR4F5,2618
CICP27,3812
OR2G6,6197
OR2T2,3530
OR13G1,2568
OR1C1,3980
OR2M3,9933
OR2T10,3522
OR6N1,2726
OR2T11,3770
OR10Z1,6323
SPTA1,10108
LINC01788,2455
MIR186,86
CERS2-AS1,778
RNU6-884P,107
C1orf56,2320
IER5,4201
OPN3,3724
CHML,7778
BCL9,6331
RPL6P3,853
RPL23AP20,421
BECN2,1296
CFL1P4,498
TUBB8P6,1288
WDR64,5622
MIR3117,78
CNIH3-AS1,837
DNAH14,19693
DYRK3,10297
TNFSF18,2744
MAP10,4514
TRIM67,9389
OR2T4,963
INSL5,736
OR6P1,3255
SLC2A7,1944
OR6K2,975
LCE4A,615
LINC01772,3245
RNU1-1,164
RNU1-6P,144
PDE4DIPP8,882
RNU1-3,164
ACTRT2,1437
MIR4251,61
LDLRAD2,4494
HSPG2,18118
RPL21P29,483
CELA3B,1540
RN7SL386P,297
RNU6-1022P,104
CELA3A,1226
RN7SL186P,297
RNU6-776P,104
LINC00339,3764
CDC42-AS1,2574
CDC42-IT1,692
MPHOSPH6P1,488
MIR4418,62
LOC124900428,86
AVPR1B,5062
RPL22P4,390
MIR6769B,62
IKBKE-AS1,2096
RPL7AP20,792
RNU1-4,164
RABGAP1L,16071
AMPD1,3082
UBE2U,1842
LCE1C,718
H3-7,3970
HMGN3P1,193
CRNN,1902
LCE5A,860
CRCT1,718
LCE3E,619
LCE3D,625
COL8A2,4669
RN7SL131P,256
UBE2V2P4,259
A3GALT2,1023
MIR3605,100
RN7SKP16,299
RN7SL44P,302
RNU4-27P,139
SNORA63C,129
ASCL5,2036
LINC02816,748
KIAA1614-AS1,1440
STX6,6477
RPL36AP11,321
TMEM269,4398
GORAB,11246
MIR3115,68
RNU6-514P,107
RNU6-135P,101
LCE1B,1138
LCE1A,625
LCE6A,640
SMCP,770
IVL,2152
SPRR4,751
SPRR3,1441
LOC124900435,133
SPRR1B,619
SPRR2D,1052
SPRR2A,677
SPRR2B,676
SPRR2E,735
SPRR2F,675
SPRR2G,589
RNA5SP60,87
OR10J1,3557
FCER1A,1165
MYOM3-AS1,461
ELF3,7186
CRIP1P3,220
LOC646804,1641
MIR1295A,79
MIR1295B,60
SMU1P1,1531
KRT8P45,1447
ETV3,6707
CYCSP52,310
NUCKS1P1,703
BTF3P9,283
RNA5SP42,115
C1orf94,3339
LOC100420336,434
CSMD2,18114
PYGO2,3664
PYGO2-AS1,799
MIR4258,91
DCST2,3071
DCST1,3193
RPL6P31,870
RNVU1-6,164
RNU6-1071P,101
NUDT4P2,546
TEX46,794
RNU6-723P,107
RNU4-61P,107
RPL21P25,474
AGBL4,7501
AGBL4-AS1,566
AGBL4-IT1,514
ZNF859P,1966
MTND2P29,412
C1orf185,1114
ROR1,6718
RPL19P3,584
CFL1P3,490
PFN1P1,423
RPL4P3,1311
LOC100422548,381
LOC100422549,521
LOC124900454,106
RNA5SP529,110
RNVU1-15,165
PFN1P6,399
RNVU1-26,162
RNVU1-2A,165
RNVU1-28,164
CFAP74,10422
NOTCH2NLC,9139
MIR4424,86
RALGPS2-AS1,1980
PTPN2P1,1072
SNORA63,126
EIF4G3,11885
LOC100131107,1347
TCHHL1,3606
RPTN,3569
HRNR,9629
RNVU1-14,164
RN7SL165P,291
SFN,1308
NR0B2,1165
RPL12P13,497
OSTCP2,444
TENT5B,2382
CATSPER4,2030
MRPS6P1,358
LIN28A,3975
RPL17P9,535
PPP1R15B,9335
DMRTB1,2440
RNU7-95P,64
LOC124900439,136
RPL37P7,286
RGS7,21651
CNR2,5265
BTBD6P1,1267
MIR378F,78
RPL36P5,328
GRHL3,4266
DNM3,11851
RPLP1P3,350
DNM3-IT1,396
MIR214,110
MIR3120,81
MIR199A2,110
RNU6-157P,107
C1orf105,1728
RN7SKP55,307
RNU6-947P,106
RNU6-1089P,104
RNU6-999P,105
RNU1-132P,164
KIF26B-AS1,810
DNAJC19P8,259
H3-4,516
ABCA4,8547
PRRC2C,14189
PATJ,11813
TRIM46,4533
MUC1,2401
OPRD1,9317
LOC100133029,904
ARL5AP3,386
CTBP2P8,1330
MIR1262,93
RPS7P4,582
MYOCOS,3180
OR2B11,6414
OR6N2,3455
H3C15,518
H2BC18,1798
H4C15,1878
H2AC18,533
H2BC21,2224
H4C14,1878
H3C14,522
OR2T1,2104
IL19,6233
LCE2C,625
OR2C3,8509
HNRNPA3P14,1150
ARID3BP1,1675
ST13P20,1065
LCE3C,476
CITED4,1310
UBE2V1P8,265
SLFNL1-AS1,4800
RPL23AP17,499
PKP1,6211
LOC124904582,387
PHLDA3,3243
MIR5191,120
RNU6-501P,100
MIR1231,92
MIR6739,75
MIR6736,59
MRPL53P1,319
RNU7-70P,66
TAFA3,1677
NUTF2P4,381
RNVU1-19,167
RPL36AP9,313
TAF13,2764
LOC124904668,214
MIR215,110
MIR194-1,85
RPS15AP12,388
MIR664A,82
SNORA36B,131
SNX2P1,665
MORF4L1P1,967
AURKAP1,1212
XRCC6P3,1621
RPLP0P5,933
RN7SL861P,285
LOC107985222,243
MACF1,70573
P3R3URF-PIK3R3,1553
COX7BP4,226
P3R3URF,405
LURAP1,1849
HMGB3P10,572
STUM,7834
FCGR2C,3141
RN7SKP195,303
MIR4428,73
RNVU1-4,164
LOC124904640,146
PPIAL4A,760
RPS3AP11,755
TMSB4XP1,135
RNU6-536P,107
PPIAL4C,760
PPIAL4D,760
PPIAL4E,760
PPIAL4F,760
PPIAL4G,755
PPIAL4H,760
KLHL21,6670
HNRNPA1P59,918
UBR4,24661
AKR7L,2768
RNU6-1099P,107
RN7SL277P,288
COX7CP2,190
SLC25A39P1,1065
NPM1P40,733
RNA5SP66,101
RNU6-731P,111
PRDM2,10933
RHCE,2433
RNU7-13P,62
LENEP,730
RPS3AP8,684
ARPC5,10650
APOBEC4,2782
LOC100420254,936
AKNAD1,5039
LINC00626,1532
SUMO1P2,304
PDE4B,8930
CALML6,2040
UBE2FP3,524
WDR77,2685
TMIGD3,2428
RNU6-792P,107
ADORA3,2560
FOXO6,2495
RNA5SP45,92
LOC100418723,2242
HS2ST1,8469
LOC100421465,937
LOC100421468,826
LINC01140,6717
MIR4711,70
RN7SL475P,298
H2AC25,1850
H2BC26,5002
RNF187,7097
SLC44A5,6299
FAM229A,2845
TCHH,6985
LINC03108,1679
LNCATV,3681
CTXND2,1229
ACO2P2,2310
RNU2-70P,179
ERO1B,15361
KPRP,2531
RNA5SP59,110
LINC01686,1376
RGS8,6700
CELSR2,12830
MIR4253,68
LACTBL1,1950
PYHIN5P,723
PYHIN1,3484
RAD1P2,663
MIR4735,69
RN7SL326P,296
MIR4260,67
ADORA2BP1,842
RPS15AP8,397
RPSAP18,886
NHLH1,2557
RNU4-42P,142
SPRR1A,662
MIR7856,56
RPL7L1P22,691
CLCA2,4406
CDCA4P2,718
MIR4753,83
PFN1P8,543
RNU1-151P,125
SSBL4P,1241
RNVU1-8,141
RNVU1-27,165
RNU6-1171P,101
NUDT4B,3642
RN7SKP88,250
RNU2-38P,79
RNVU1-24,162
RPL12P14,490
RPS16P1,438
PPP1R11P1,376
PDE4DIPP10,649
NBPF2P,661
HS6ST1P1,1234
PFN1P10,327
CCDC30,25199
MATN1,4604
SFPQ,7720
BMP8B,4826
OXCT2,1826
BMP8B-AS1,1218
LOC101929536,1196
TRIT1,6533
LHX8-AS1,2203
RNU6-622P,103
MIR4423,80
LOC124904806,68
RNU6-239P,99
RNU6-121P,99
FCRL4,3882
VDAC1P9,841
MIR4654,76
RNA5SP61,100
MIR556,95
C1orf226,4313
TEX35,4007
C1orf220,2775
RNA5SP69,117
RNA5SP76,87
UQCRHL,2180
IL10,4342
AGT,12703
RN7SL431P,305
MIR190B,79
CFAP141,674
SNORA58B,136
GAPDHP20,1007
LRRC37A12P,1801
RN7SL122P,301
RPL5P4,886
MIR551A,96
TP73-AS3,754
TP73-AS2,351
BCL2L15,9095
C1orf141,5022
LOC124900434,135
LDHAP2,985
MIR1537,61
RNU6-968P,107
RNU6ATAC18P,101
MIR6730,67
AADACL3,4055
CFAP107,4133
